,ID,CREATED_AT,DEVICE_ID,IP_ADDRESS,USER_ID,UUID,EVENT_TYPE,EVENT_PROPERTIES,PLATFORM,DEVICE_TYPE
rec0id4bYn2qWmMe9,3295c76acbf4caaed33c36b1b5fc2cb1,2021-05-17T07:01:58.469Z,5c079c5a259fa61884dcf02943fcad15,87.88.167.199,14d24ced8f7969ee34dd72bb20ecbf63,ba3bdbfb06e376f2ff86ebd15360bb51,Viewed cover Screen,"{
  ""session_id"": 1621242117764
}",Android,Huawei P20 Pro
rec0jyep8SOJxJbWM,35051070e572e47d2c26c241ab88307f,2021-05-21T02:45:19.836Z,6d60b91b4fbb6edffb31f5e3a0d5f2c8,88.161.254.223,0e6a1aead23ebf5eb5d6edb591cafa63,74acddbb626f35262fd91b29901babb7,Application Closed,"{
  ""screen"": ""cover"",
  ""session_id"": 1621572273116
}",Android,
rec0kSzvzquayKTN9,8e98d81f8217304975ccb23337bb5761,2021-05-22T14:21:40.918Z,02daa0353f9af7ad880cfb48e8c0f2cd,87.88.40.77,,ecb1b489c37714ee54223b4c8913582d,Login Failed,"{
  ""screen"": ""welcome_signup"",
  ""session_id"": 1621699801701
}",Android,
rec0kTlR8UAfDkH8E,ad61ab143223efbc24c7d2583be69251,2021-05-14T04:57:10.794Z,133d1b63d134d4dae4a2790c7b2cd3f0,78.197.139.215,6262fd2e1b7db9411e4d47ad093a1397,18f531b3706308109fa5a7d0808ec047,Viewed help_claim_step Screen,"{
  ""claimType"": ""WaterDamage"",
  ""questionId"": ""2240136"",
  ""questionType"": ""FORM"",
  ""session_id"": 1620974932989,
  ""stepId"": 2240136
}",Android,Samsung Galaxy A50
rec0ksifGigpsUJSe,d67d8ab4f4c10bf22aa353e27879133c,2021-05-30T14:46:46.272Z,cc1ede3790d28ee34444a90a3efb7855,92.184.105.26,,6760fe3c8f7cef896311ec6ed9126805,Button Clicked,"{
  ""documentType"": ""specialTerms"",
  ""label"": ""Document Open"",
  ""screen"": ""contract_documents"",
  ""session_id"": 1622393109540
}",iOS,Apple iPhone X
rec0mmzKAttCuxE9T,6ea9ab1baa0efb9e19094440c317e21b,2021-05-28T08:56:10.252Z,d66f1c060dea38ea0dd7e36ba26aafc5,193.57.121.16,5287199a4f04696a90eed8efa9d999c9,2c8b3c1943393700c25128fc00ceb283,Viewed profile_referral_detail Screen,"{
  ""session_id"": 1622199271429
}",iOS,Apple iPhone 11
rec0nYZgymDu75Zmm,299fb2142d7de959380f91c01c3a293c,2021-05-11T06:25:40.483Z,49d58e815ebc8a6f75d02be634113e56,78.115.187.12,66a733febe222a5f3ae377f413c19305,1fb28419948029decf068dc49a8315c5,Chart Load Started,"{
  ""label"": ""day elec"",
  ""screen"": ""protect_elec_graph"",
  ""session_id"": 1620721502865
}",Android,
rec0nwpTQKLeVkn6y,a5771bce93e200c36f7cd9dfd0e5deaa,2021-05-05T08:42:42.149Z,fc6f3dfe75c0e8915b19c1265070a0d4,93.19.126.50,,ac7f48c50559f95d2f1223fae79e5c5f,Viewed help_claim_step Screen,"{
  ""claimType"": ""WaterDamage"",
  ""questionId"": ""date"",
  ""questionType"": ""DATE_PICKER"",
  ""session_id"": 1620211097641,
  ""stepId"": 2175320
}",Android,OnePlus 5T
rec0nz0NNiuULs0OE,234833147b97bb6aed53a8f4f1c7a7d8,2021-05-03T12:17:04.043Z,d14cbd6667025c72c3b1c35c67856e46,90.120.122.197,,5a0bac1751031b005d8202689b6ed65e,Application Opened,"{
  ""from_background"": false,
  ""session_id"": 1620051424013
}",iOS,
rec0p1QO6u5QbKjL9,daca41214b39c5dc66674d09081940f0,2021-05-12T15:44:54.763Z,205713e0e07d7f8e6dca276202347c17,213.245.237.152,0a8e127a7b5717b3aee6c1f0f508d1b0,68c7f5206c8eb9aaa8c937e8b0601f4a,Notification Tapped,"{
  ""actionIdentifier"": ""com.apple.UNNotificationDefaultActionIdentifier"",
  ""aps.alert.body"": ""Mouvement de votre porte détecté"",
  ""aps.alert.title"": ""Alerte Luko"",
  ""aps.content-available"": ""1"",
  ""gcm.message_id"": ""1620839471939569"",
  ""google.c.a.e"": ""1"",
  ""google.c.sender.id"": ""311966152125"",
  ""luko_landing_page"": ""DOOR_EVENTS"",
  ""luko_push_type"": ""door_event_start"",
  ""luko_url"": ""luko://protect-door"",
  ""screen"": ""protect_door_events"",
  ""session_id"": 1620840494390,
  ""title"": ""Alerte Luko"",
  ""userInteraction"": 1
}",iOS,Apple iPhone XR
rec0pja1VW8rf0W6B,b4a528955b84f584974e92d025a75d1f,2021-05-25T18:35:19.023Z,9e94d64b06a6072acfdbcaa3f59ded08,77.153.164.61,9ed010a99d123f1ef951a22c8f9cf3f6,3ab20574a48aed949a3d005583da89f4,Viewed protect Screen,"{
  ""cards"": [
    ""Bridge""
  ],
  ""items"": [
    ""Settings""
  ],
  ""notifications"": [],
  ""session_id"": 1621974867202
}",iOS,
rec0qwCsAufcdJ06u,045117b0e0a11a242b9765e79cbf113f,2021-05-21T16:38:22.150Z,d57f253635630570eb2b4dfba0c27033,86.218.127.207,c92b26f68689c7af56b0b08721897732,c8613f8392a5d149adb544a163596d66,Banner Viewed,"{
  ""label"": ""error"",
  ""screen"": ""contract_documents"",
  ""session_id"": 1621622108375,
  ""text"": ""Nous n'arrivons pas à charger vos données""
}",iOS,Apple iPhone 8
rec0sBa1X478pVGF2,a8c88a0055f636e4a163a5e3d16adab7,2021-05-27T13:23:25.584Z,dd4a85d8a23e0fd020c76d01975071e8,80.215.128.240,28d0c7b70e878a43a87a55fe5811d9ce,178dd151f66dab9eb2b2e3126500d3d8,Button Clicked,"{
  ""claimType"": ""Other"",
  ""label"": ""Help Topic"",
  ""screen"": ""help_request"",
  ""session_id"": 1622128477691
}",iOS,Apple iPhone XS Max
rec0sksoh9QQjrTeG,3147da8ab4a0437c15ef51a5cc7f2dc4,2021-05-15T04:00:18.801Z,9348ea2a4c61b7ecfebfe15351eb6b3a,37.167.31.248,58e25a238f48a1611ff9fcb270ddab41,8af2173ed3c7f37dc3fa63d9a7607554,Application Opened,"{
  ""from_background"": false,
  ""session_id"": 1621058418728
}",Android,
rec0uLWmUw4QhbOtK,a3c65c2974270fd093ee8a9bf8ae7d0b,2021-05-11T14:02:21.918Z,2aab4356b69d45db1a6770169a6cfea1,213.3.15.108,7df6f703a328f82afb7eebbdfa6cf2ba,0e2048dc4c9c9e2fc35860e5b3cdeb46,Viewed help_claim_step Screen,"{
  ""claimType"": ""Vol / Vandalisme"",
  ""questionId"": ""user_upload"",
  ""questionType"": ""DOCUMENT_UPLOAD_MULTIPLE"",
  ""session_id"": 1620748882305,
  ""stepId"": 2189000
}",Android,Samsung Galaxy S10+
rec0vc8BKlvEaOx12,b9228e0962a78b84f3d5d92f4faa000b,2021-05-22T06:10:46.547Z,e5e33292a88e4c37f01cb8377c895acf,91.168.74.227,517da335fd0ec2f4a25ea139d5494163,7f9cd6a9e5164fa21602aa6fc76e4c76,Error Occured,"{
  ""devMessage"": ""error fetch weather alerts data: Error: Network error: Network request failed"",
  ""screen"": ""help_request"",
  ""session_id"": 1621670962766,
  ""showed"": ""NO"",
  ""type"": ""FETCH_USER_FAILURE""
}",iOS,Apple iPhone 12 Pro
rec0vmnkLkThlB4TV,9a1158154dfa42caddbd0694a4e9bdc8,2021-05-19T13:45:02.122Z,3056c5a9259c7d996d81cfc83e2a70b4,93.23.16.206,4377a4d8a73414cf581823e26a2de9c7,cae3251e01e1bc54f4478abff14b1fbb,Application Backgrounded,"{
  ""screen"": ""cover"",
  ""session_id"": 1621439098398
}",iOS,Apple iPhone 8
rec0vqnD7CHvYaMCg,c51ce410c124a10e0db5e4b97fc2af39,2021-05-22T05:47:15.447Z,2b4be0962943ceffde02b00e17064b13,93.21.46.239,,2b4548b6076f0ba3ab8eebc26e872ea5,Viewed profile_invoices Screen,"{
  ""session_id"": 1621669585649
}",Android,
rec0wMDM1jDrJx8DU,1ff8a7b5dc7a7d1f0ed65aaa29c04b1e,2021-05-09T14:11:47.268Z,abe6cae10a8fd06f822fd660d9c3b189,176.132.130.52,,cb716b3ba3fdcb358eb61f09b38208ca,Application Closed,"{
  ""session_id"": 1620576246965
}",iOS,Apple iPhone 12
rec0y04uCq8LShILI,34173cb38f07f89ddbebc2ac9128303f,2021-05-15T06:44:03.472Z,545716bb55ee81ab0a31c50cf4649bc0,93.23.13.216,b32707b6946f4eae31db7b3cb20d4f9f,2122f1e70e9942b85e4709df25e0bd25,Application Closed,"{
  ""screen"": ""help_request"",
  ""session_id"": 1621067518363
}",iOS,Apple iPhone 11
rec0y4WGuWfE9se2O,ec8956637a99787bd197eacd77acce5e,2021-05-20T19:23:50.376Z,af3c747424cf89f6d3e344b392197862,193.56.242.72,0554ec66129b068ef7c80a0348340cbd,6945d7c98009c6aa98925d255ba044ca,Viewed profile Screen,"{
  ""session_id"": 1621545803210
}",iOS,Apple iPhone 12
rec0yHwcdS3QsvmWY,8f14e45fceea167a5a36dedd4bea2543,2021-05-31T08:07:49.654Z,b73e33065e7845f30725007c80011d41,191.101.31.46,,4c3bda436d2078ba609e111a6d10b160,Viewed welcome_login Screen,"{
  ""session_id"": 1622455666468
}",Android,Samsung Galaxy S8
rec0z8jNeFvAogP0e,d395771085aab05244a4fb8fd91bf4ee,2021-05-05T14:17:05.654Z,97a7b701af1ef431629cefaeb2ff04aa,176.185.184.13,eb50a7dddf1a267d68eafc0f45a24ca2,25b8992c403760aeef03e69524b8e0ac,Viewed protect_door_config_slideMount Screen,"{
  ""session_id"": 1620231380276
}",Android,
rec0zqN9x9bGbQIbV,e46de7e1bcaaced9a54f1e9d0d2f800d,2021-05-14T10:25:01.641Z,da29ea40e3a72cbb4f3c249ca0c5caa7,84.6.22.224,e218d562523a9dfd9a1df365f46128c9,173c53429bc48388fa32c062a32bd5b0,Media Picker,"{
  ""label"": ""Opened"",
  ""options.allowFiles"": true,
  ""options.allowImageLibrary"": true,
  ""options.allowPhoto"": true,
  ""options.allowVideo"": true,
  ""screen"": ""help_claim_step"",
  ""session_id"": 1620994589979
}",iOS,Apple iPhone 12
rec0zqy9DBLWg1DMO,a8f15eda80c50adb0e71943adc8015cf,2021-05-22T13:11:06.971Z,8106df1e990904b822b5d99510eb34a1,93.22.135.220,1f93928d12be802a3e7be7eafa2f968d,eefca966b3c93f029e2138060b7469ed,Notification Received,"{
  ""from_background"": true,
  ""luko_landing_page"": ""DOOR_EVENTS"",
  ""luko_push_type"": ""door_event_start"",
  ""luko_url"": ""luko://protect-door"",
  ""session_id"": 1621696266835
}",Android,
rec0zuCuKCzjnW8nG,d1fe173d08e959397adf34b1d77e88d7,2021-05-04T11:16:24.657Z,76b27342708038319c27b1c469af54ca,77.204.146.65,c9535ee549d198a4b146a5a81e0a6450,0163a9a93dfdea9c415399cb214c36e0,Viewed protect_bridge_settings Screen,"{
  ""online"": true,
  ""session_id"": 1620134130418,
  ""wifiLevel"": ""GOOD""
}",Android,Samsung Galaxy S20+
rec100OnP1Zp4Cwp4,1c9ac0159c94d8d0cbedc973445af2da,2021-05-07T09:15:03.832Z,04606337b322ba8e591ad35c0cf784bf,78.222.128.162,194da104de80eb4f5c21a217be78b968,0d779177ddfa3608afaf57e934e1571a,Application Backgrounded,"{
  ""screen"": ""cover"",
  ""session_id"": 1620385835708
}",iOS,Apple iPhone SE 2nd Gen
rec10RPlQKLMLCYst,da4fb5c6e93e74d3df8527599fa62642,2021-05-24T15:42:03.103Z,0e0aa0ac3d4d770a5415120f3d858d93,78.240.184.18,c4525d4b0ad85bb7ed6e5f31fbe008ce,9fdeee5319a90014703645fb909279d3,Application Backgrounded,"{
  ""screen"": ""profile_informations"",
  ""session_id"": 1621878019016
}",iOS,Apple iPhone 6s
rec10VRSIzgEXZw7j,33e75ff09dd601bbe69f351039152189,2021-05-18T10:43:33.630Z,df2d26f2b9a468c9208939de82ddb61b,92.94.6.108,,8c35baa8c2afdeee530be73630d50acd,Authorization Failed,"{
  ""label"": ""Location"",
  ""screen"": ""help_request"",
  ""session_id"": 1621341593398
}",Android,Samsung Galaxy A51
rec10qzSSv69OOWco,19ca14e7ea6328a42e0eb13d585e4c22,2021-05-01T04:49:10.718Z,6df96765fad12d0b0a59a052713cb5e7,89.95.196.248,,8d82914dc46fdb3d09fe50e5fa613058,Viewed help_claim_step Screen,"{
  ""claimType"": ""CivilLiability"",
  ""questionId"": ""selected_single"",
  ""questionType"": ""SELECT_SINGLE"",
  ""session_id"": 1619851534566,
  ""stepId"": 2149483
}",iOS,Apple iPhone X
rec118ER3wZVZ01Il,46515dcd99ea50dd0671bc6840830404,2021-05-26T13:46:14.714Z,9b2632f9a843d562705cf340439bd9c9,176.129.160.65,8071b4c2068b888519df6f9643433a5b,2da7b4e6c63ae82a631932e399d263d3,Error Occured,"{
  ""screen"": ""welcome_login"",
  ""session_id"": 1622043722476,
  ""showed"": ""YES"",
  ""type"": ""LOGIN_FAILURE"",
  ""userMessage"": ""Email or password incorrect""
}",iOS,
rec11hJWJM7WxQE2Q,c0c7c76d30bd3dcaefc96f40275bdc0a,2021-05-04T09:30:19.793Z,84244fc392a5a7b30b288196e6499c69,81.220.22.106,95f8d9901ca8878e291552f001f67692,a85f80b95e59590c1dc5ef53eaf30e27,Viewed protect Screen,"{
  ""cards"": [
    ""Bridge"",
    ""Power"",
    ""Door""
  ],
  ""items"": [
    ""Settings""
  ],
  ""notifications"": [
    ""Door - Labelling""
  ],
  ""session_id"": 1620127818778
}",Android,Google Pixel 5
rec13SZVKOAgJCwmo,c51ce410c124a10e0db5e4b97fc2af39,2021-05-05T09:01:03.753Z,1516bbeb254ae4997bcac570b4c10491,91.69.244.29,e7ae0af7f576839f0ababb817c71e236,d0d6a00efe3229d6a408470e211c4b33,Viewed cover_contract_resume Screen,"{
  ""contractId"": 90242,
  ""product"": ""MRH"",
  ""session_id"": 1620212462114
}",iOS,Apple iPhone 12 Mini
rec13cG8bCYteCRNj,d67d8ab4f4c10bf22aa353e27879133c,2021-05-22T16:41:32.555Z,f4b0b6da8be06594d47cf825da9e6b6f,86.75.44.233,8887d238b7d1f083ab3825ef37bedd76,11874442d27d123beb6c998ce522dc1b,Application Closed,"{
  ""screen"": ""profile"",
  ""session_id"": 1621708875380
}",Android,
rec13oUwVWTLHCx6v,e4da3b7fbbce2345d7772b0674a318d5,2021-05-26T09:50:33.488Z,d3f9c418d4bade5e408f52e0511767a8,47.60.37.130,3efeff9dbd6bfd7ccc698c0baf52740c,2c9f7801e651532f15d146ecf5a10a54,Error Occured,"{
  ""devMessage"": ""Error fetch user claims : Error: GraphQL error: Missing Session token. Unauthorized access."",
  ""screen"": ""cover"",
  ""session_id"": 1622029831538,
  ""showed"": ""YES"",
  ""type"": ""FETCH_USER_CLAIMS_FAILURE"",
  ""userMessage"": ""An error has occurred""
}",iOS,Apple iPhone 6s
rec13tXtC12HvoNJH,1068c6e4c8051cfd4e9ea8072e3189e2,2021-05-19T20:34:10.478Z,bea61c591fce3483cdaff53ec2794c24,93.23.104.116,2b63b2ccc00d194fcd823680cf0f401f,2dcf78c6a44e93605dedb55a3c7e3ebb,Viewed contract_documents Screen,"{
  ""session_id"": 1621463595951,
  ""type"": ""MRH""
}",iOS,Apple iPhone 11
rec14Aq25ntS1D460,6ea9ab1baa0efb9e19094440c317e21b,2021-05-13T18:36:45.182Z,32329ee5ed30558a1db21b69a5d742c7,91.172.197.109,,87c53ab9e1b8d0a1f39de569cc630e72,Amend Requested,"{
  ""label"": ""ADD_CHILD"",
  ""screen"": ""contract_beneficiaries_edit"",
  ""session_id"": 1620937897553,
  ""type"": ""HU""
}",iOS,Apple iPhone XR
rec14S6Zuba8mxtnU,9a1de01f893e0d2551ecbb7ce4dc963e,2021-05-09T15:37:27.407Z,35b067f75bd91381ea4b2c5be8eba5a7,185.13.106.219,02ff1fa35bacc1643287baab70d1ce52,ab3309e343e1fead7808362d56a06477,Viewed cover Screen,"{
  ""session_id"": 1620581846542
}",Android,
rec15PEN8jIW1SA0w,17e62166fc8586dfa4d1bc0e1742c08b,2021-05-24T19:44:10.757Z,6bdca5666bd99149c5fc76ce558e9de5,91.165.175.138,,37624bffb1d0bdb55a63486b32da8839,Error Occured,"{
  ""screen"": ""welcome_signup"",
  ""session_id"": 1621892492316,
  ""showed"": ""YES"",
  ""type"": ""LOGIN_FAILURE"",
  ""userMessage"": ""E-mail ou mot de passe incorrect""
}",Android,Huawei Mate 20 lite
rec15TFFZvBs8I4W6,9bf31c7ff062936a96d3c8bd1f8f2ff3,2021-05-27T15:19:50.220Z,3ef5b4fdea68cf625989e06b87b0d432,37.170.119.139,,318c079f234839f6e1294f725f936023,Login Failed,"{
  ""screen"": ""welcome_signup"",
  ""session_id"": 1622135899506
}",iOS,Apple iPhone 8
rec15XSkEJ24Z7JNm,d09bf41544a3365a46c9077ebb5e35c3,2021-05-20T10:06:39.597Z,b1ac7dba19f894decf62428366215c3e,41.188.38.138,,a68cc86673392d7e41e351d3e4f31103,Error Occured,"{
  ""screen"": ""welcome_login"",
  ""session_id"": 1621512314084,
  ""showed"": ""YES"",
  ""type"": ""LOGIN_FAILURE"",
  ""userMessage"": ""E-mail ou mot de passe incorrect""
}",Android,
rec16Uof84fak4LGy,6f4922f45568161a8cdf4ad2299f6d23,2021-05-03T12:00:23.724Z,1b9cbd2e0ccb644a4ac1a51091349973,93.29.181.92,,c19a947d0431e8d248291a101df2c6fb,Viewed contract_documents Screen,"{
  ""session_id"": 1620050238915,
  ""type"": ""MRH""
}",Android,
rec16WMFT8mDtzeQp,d82118376df344b0010f53909b961db3,2021-05-13T12:11:45.423Z,2d11d5564c0bcbf593c75ff978bdb218,93.22.38.70,a1a318eeacbe674c04031c4f7adbb2e7,ebcd8360b3333bfaafd55132a8b75b46,Application Closed,"{
  ""screen"": ""profile"",
  ""session_id"": 1620915101070
}",iOS,Apple iPhone 11 Pro
rec17NQ2tBPrGzPpS,70efdf2ec9b086079795c442636b55fb,2021-05-08T12:50:50.813Z,03d8cb4be1d3df6e043d782bc91012ba,78.192.214.239,,727fb4e1100ecfa6de1284e90635b7c6,Application Opened,"{
  ""from_background"": true,
  ""screen"": ""welcome_login"",
  ""session_id"": 1620485350253
}",iOS,Apple iPhone X
rec19ffP0sBZn1PMh,eecca5b6365d9607ee5a9d336962c534,2021-05-06T05:59:09.638Z,783d8034736f6813cdc8bd78ffb0f92a,37.164.22.171,77c223a3bf35a3e71230e9ef2aa407a1,2a9c32a63841fa12a66f1d1c6622bd24,Viewed help_request Screen,"{
  ""session_id"": 1620287884182
}",Android,Samsung Galaxy A8
rec1A4WOw1WphOBBR,093f65e080a295f8076b1c5722a46aa2,2021-05-10T13:22:02.419Z,340d2a923632d9a0ade44ec7410fbec4,94.238.187.96,,b14f513ff82effffeeacb40eb05e2a96,Viewed welcome_slider1 Screen,"{
  ""session_id"": 1620660115893
}",iOS,Apple iPhone XR
rec1C1JHEUEJO2IFl,d3d9446802a44259755d38e6d163e820,2021-05-09T17:07:02.909Z,62acfbf76f5d573a36546534cb811a57,90.8.166.149,,776db768eec993975959b431ba5daaac,Application Backgrounded,"{
  ""screen"": ""welcome_signup"",
  ""session_id"": 1620587204872
}",iOS,Apple iPhone 12
rec1CR2QdHT3DHd8I,9b72e31dac81715466cd580a448cf823,2021-05-19T13:11:43.847Z,604a959227c202534e6f624ed1fb09c3,92.184.116.31,9c110fa312e5223724a41c1dc4fabcb4,cea830e09aa796c6321a03d061438a26,Application Backgrounded,"{
  ""screen"": ""cover"",
  ""session_id"": 1621437021064
}",iOS,Apple iPhone SE 2nd Gen
rec1CWQewTbE4SpMk,19ca14e7ea6328a42e0eb13d585e4c22,2021-05-07T05:46:13.320Z,902bed1eeb553b7d12e2e5b09968e21c,163.5.2.32,,e8561cc1d9cc7ec065cae449c53e6f63,Viewed help_claim_step Screen,"{
  ""claimType"": ""WaterDamage"",
  ""questionId"": ""selected"",
  ""questionType"": ""SELECT_SINGLE"",
  ""session_id"": 1620373448934,
  ""stepId"": 2188298
}",iOS,Apple iPhone 12 Pro
